,AAPL,BTC-USD,CL=F,ETH-USD,GC=F,JPM,MSFT,QQQ,TSLA,^GSPC
2019-05-20 00:00:00+00:00,44.123844146728516,7978.30908203125,63.099998474121094,251.86441040039062,1276.0999755859375,94.92859649658203,120.15888977050781,173.68881225585938,13.690667152404785,2840.22998046875
2019-05-21 00:00:00+00:00,44.969730377197266,7963.32763671875,62.9900016784668,255.21588134765625,1272.0,95.2525634765625,120.8062515258789,175.5033416748047,13.67199993133545,2864.360107421875
2019-05-22 00:00:00+00:00,44.04914093017578,7680.06640625,61.41999816894531,244.69891357421875,1273.5999755859375,94.47675323486328,121.53926086425781,174.72158813476562,12.84866714477539,2856.27001953125
2019-05-23 00:00:00+00:00,43.2972297668457,7881.8466796875,57.90999984741211,245.96566772460938,1284.800048828125,92.61825561523438,120.12081146240234,172.04794311523438,13.03266716003418,2822.239990234375
2019-05-24 00:00:00+00:00,43.130943298339844,7987.37158203125,58.630001068115234,249.4849853515625,1283.0,93.53044891357422,120.17793273925781,171.9610595703125,12.708666801452637,2826.06005859375
2019-05-25 00:00:00+00:00,,8052.5439453125,,251.75987243652344,,,,,,
2019-05-26 00:00:00+00:00,,8673.2158203125,,267.06964111328125,,,,,,
2019-05-27 00:00:00+00:00,,8805.7783203125,,272.8626403808594,,,,,,
2019-05-28 00:00:00+00:00,42.95260238647461,8719.9619140625,59.13999938964844,271.7687072753906,1276.5,92.51595306396484,120.10177612304688,171.31436157226562,12.579999923706055,2802.389892578125
2019-05-29 00:00:00+00:00,42.74775314331055,8659.4873046875,58.810001373291016,269.4556884765625,1280.5999755859375,92.26021575927734,118.94035339355469,169.90513610839844,12.657333374023438,2783.02001953125
2019-05-30 00:00:00+00:00,42.96947479248047,8319.47265625,56.59000015258789,255.85894775390625,1287.0999755859375,91.27127075195312,119.69243621826172,170.6194305419922,12.54800033569336,2788.860107421875
2019-05-31 00:00:00+00:00,42.191062927246094,8574.501953125,53.5,268.1135559082031,1305.800048828125,90.33348846435547,117.74085998535156,167.89756774902344,12.343999862670898,2752.06005859375
2019-06-01 00:00:00+00:00,,8564.0166015625,,265.3912658691406,,,,,,
2019-06-02 00:00:00+00:00,,8742.9580078125,,270.22552490234375,,,,,,
2019-06-03 00:00:00+00:00,41.76449203491211,8208.9951171875,53.25,252.60792541503906,1322.699951171875,90.75975799560547,114.08525848388672,164.2007598876953,11.9313325881958,2744.449951171875
2019-06-04 00:00:00+00:00,43.29240036010742,7707.77099609375,53.47999954223633,241.3387908935547,1323.4000244140625,93.5560302734375,117.24584197998047,168.82411193847656,12.90666675567627,2803.27001953125
2019-06-05 00:00:00+00:00,43.991294860839844,7824.2314453125,51.68000030517578,247.05101013183594,1328.300048828125,93.88851928710938,119.78761291503906,170.07891845703125,13.105999946594238,2826.14990234375
2019-06-06 00:00:00+00:00,44.63715744018555,7822.0234375,52.59000015258789,249.47433471679688,1337.5999755859375,94.09312438964844,121.68204498291016,171.43020629882812,13.729999542236328,2843.489990234375
2019-06-07 00:00:00+00:00,45.82526779174805,8043.951171875,53.9900016784668,250.93035888671875,1341.199951171875,93.06156921386719,125.09013366699219,174.74087524414062,13.633333206176758,2873.340087890625
2019-06-08 00:00:00+00:00,,7954.1279296875,,245.73809814453125,,,,,,
2019-06-09 00:00:00+00:00,,7688.0771484375,,233.08670043945312,,,,,,
2019-06-10 00:00:00+00:00,46.41088104248047,8000.32958984375,53.2599983215332,247.52012634277344,1324.699951171875,94.06754302978516,126.2325210571289,176.77743530273438,14.192000389099121,2886.72998046875
2019-06-11 00:00:00+00:00,46.94831085205078,7927.71435546875,53.27000045776367,245.78182983398438,1326.4000244140625,94.35740661621094,125.7564926147461,177.0187225341797,14.473333358764648,2885.719970703125
2019-06-12 00:00:00+00:00,46.79888916015625,8145.857421875,51.13999938964844,260.9032897949219,1331.9000244140625,93.15536499023438,125.17584228515625,175.99560546875,13.950667381286621,2879.840087890625
2019-06-13 00:00:00+00:00,46.78924560546875,8230.923828125,52.279998779296875,256.1687927246094,1339.199951171875,93.38555145263672,125.96597290039062,177.0380401611328,14.260666847229004,2891.639892578125
2019-06-14 00:00:00+00:00,46.44944763183594,8693.8330078125,52.5099983215332,264.08746337890625,1340.0999755859375,93.62423706054688,126.0897216796875,176.28518676757812,14.32800006866455,2886.97998046875
2019-06-15 00:00:00+00:00,,8838.375,,269.0193176269531,,,,,,
2019-06-16 00:00:00+00:00,,8994.48828125,,269.22320556640625,,,,,,
2019-06-17 00:00:00+00:00,46.72658920288086,9320.3525390625,51.93000030517578,274.3511047363281,1338.699951171875,93.11273193359375,126.47052764892578,177.34690856933594,15.001999855041504,2889.669921875
2019-06-18 00:00:00+00:00,47.82552719116211,9081.7626953125,53.900001525878906,265.0518493652344,1346.5999755859375,94.38299560546875,128.6696014404297,179.9239959716797,14.982666969299316,2917.75
2019-06-19 00:00:00+00:00,47.68574142456055,9273.521484375,53.7599983215332,269.4317932128906,1344.5999755859375,93.70098114013672,129.17413330078125,180.59963989257812,15.095333099365234,2926.4599609375
2019-06-20 00:00:00+00:00,48.06892776489258,9527.16015625,56.650001525878906,271.69500732421875,1392.9000244140625,93.93968200683594,130.37362670898438,182.27911376953125,14.641332626342773,2954.179931640625
2019-06-21 00:00:00+00:00,47.905052185058594,10144.556640625,57.43000030517578,294.9102783203125,1396.199951171875,93.30028533935547,130.39266967773438,182.0089111328125,14.790666580200195,2950.4599609375
2019-06-22 00:00:00+00:00,,10701.69140625,,309.38031005859375,,,,,,
2019-06-23 00:00:00+00:00,,10855.37109375,,307.8277893066406,,,,,,
